,질병명,축종,정의,주요증상
575,"담낭염, 담석증, 총담관 결석증(Cholecystitis, cholelithiasis, choledocholithiasis)","개, 고양이","개, 고양이에서 담석은 드물고, 원인도 알려지지 않았다. 드물게 담낭염과관련되지 않은 임상증상을 일으키고, 담도폐쇄 또는 담도계의 파열이있다. erode한 담낭벽은 담즙성 복막염을 일으킨다. 때때로 방사선학적으로 보이기도 하지만, 방사선 비투과적이다. 총담관 결석증은 황달 또는 재발성 황달과 관련이 있다. 진단은 방사선학적, 복강경, 부검에 따른다. 담석증이 있는 개에서 백혈구 과대증, 좌방이동있는 중성구증, 단핵구증, 혈중 간 효소 고활성, 저 알부민 혈증, 그리고 혈중 전체 빌리루빈 고농도가  일반적이다. 개에서는 특히 나이많은 암컷에서 흔하다",간 비장종대 구토 다뇨증 다음 모세혈관재충만시간지연 무기력 발열 복강외부압박에따른통증 복강내부종괴 복부팽만 복수 빈맥 산통 설사 하리 수척 건강상태불량 증체율불량 식욕부진 약맥 이동거부 전신허약 창백 체중감소 출혈 응고부전 탈수 토혈증 혈변 분변내잠혈 황달 
576,"CHRISTMAS CHERRY, SOLANUM, 중독(Christmas cherry, solanum, poisoning in dogs and cats)","개, 고양이",크리스마스 체리 의 섭취는 경도의 위장관 증상을 일으킬수 있다,과도한침흘림 구토 무기력 설사 하리 식욕부진 
577,CAIRN TERRIERS에서 염색질 용해성 신경성 퇴행(Chromatolytic neuronal degeneration in cairn terriers),개,"진행성 신경성 질환은 어린 Cairn Terrier 개에서 나타난다. 신경계의 조직학은 축삭 퇴행이나 세포 의 손실이 없는 상태에서 척수성, 자율성, 장성 신경절 뿐만아니라, 뇌와 척수, 넓게퍼진 신경학적 인구에 영향을 미치는 여러 기관의 염색질 용해성 퇴행을 보여준다. 탄력발작은 one pup에서 나타난다. 이것이 획득된 독성인지 또는 유전적 신경성 퇴행인지는 알려지지 않았다.",거리감각불능 근육긴장저하 기립불능 뒷다리반사이상 뒷다리양쪽부전마비 머리기울기 발작 실신 분변실금 비정상적인자세 사지마비 선회운동 안구진탕 안구불수의적운동 요실금 운동기피 운동실조 전신허약 진전 토끼처럼뜀 피하지방조직층반사이상 
578,말과 고양이에서의 chromomycosis(Chromomycosis in horses and cats),고양이,"chromomycosis는 갈색이나 흑녹색점으로, 출아법이 아닌 이분법으로 번식하는 곰팡이에의한 피부결절이 특징적인 병이다. PHIALOPHORA VERRUCOSA, FONSECAEA PEDROSOI, FONSECAEA COMPACTUM, CLADOSPORIUM CARRIONI, AND RHINOCLADIELLA CEROPHILUM 이 주된 원인 물질이다. 진단은 배양으로 한다.",탈모 피부누관 피부또는피하의종창 피부의황농성분비물 
579,저작근염(Chronic canine masticatory myositis),개,"개에서의 masseter, temporalis, pterygoid muscle 의 점진적위축을 말한다. 급성저작근염의 선행력이 없어도 가끔 생긴다. 이것은 턱이 닫혀져서 꼼짝안하기 떄문에 심각한 병이다.",개구장애 개구곤란 머리 얼굴 턱 혀위축 수척 건강상태불량 증체율불량 저작곤란 잘씹지못함 체중감소
580,만성 자궁내막염(Chronic canine or feline endometritis),"개, 고양이","만성자궁내막염은 임신과 비임신에 상관없이 흔하게 생기는 질병이다. 건강한 새끼를 가지지못한 경우를 제외하고는 대부분 무증상이다. 대장균이 가장 흔한 균이다. 급성 자궁막염이 생길 수 있다. 진단은 과거력, 배양, 다른원인의 배제로 할수 있다.",무발정 발정주기이상 암컷의불임증 유산 허약한새끼분만 한배새끼수가적음 산자수가적음 
581,"퇴행성 골수염, radiculomyelopathy(Chronic degenerative myelopathy, radiculomyelopathy, in dogs and cats)","개, 고양이","이 질병은 늙은 독일 세퍼드에서 잘 나타나는데, 개의 골반을 점진적으로 약화시키고, 운동실조가 생긴다. 비슷한증상이 6-7달된 독일 세퍼드에서도 나타났으며, 다른 큰 종에서도 기술되고 있다. 앞다리에는 거의 생기지 않는다. 역학은 알려져 있지 않다. 징후는 잠행성으로 생기며, 서서히 진행하고 가끔 비대칭적이다. 진단은 과거력, 징후, 다른 원인을 배제한후에 내린다. 고양이에서는 거의 생기지 않지만, 4주된 새끼고양이에서의 징후를 비롯한 산발적인 보고가 있다.",거리감각불능 골반위축 근긴장증 근경직증 기립불능 꼬리무기력 꼬리항문지각감퇴 뒷다리무기력 뒷다리반사이상 뒷다리양쪽부전마비 뒷다리위축 뒷다리지각감퇴 등부위위축 목소리변성 분변실금 비정상적인자세 사지마비 앞다리반사이상 앞다리위축 앞다리허약 요실금 운동실조 지각과민 
582,페르시아 고양이에서의 만성 위장관 대장염(Chronic gastroentrocolitis in persian cats),고양이,페르시안고양이에서 지속적으로 혈성설사를 하는 특발성의 위장관대장염이 발견되었다. 조직학적병변은 feinstein과 olsson에 의해 기술되었다.,무기력 설사 하리 수척 건강상태불량 증체율불량 이급후증 체중감소 탈모 혈변 
583,"만성 불활성, 지속성, 혹은 활동성 간염(Chronic inactive, persistent, or active hepatitis in dogs)",개,"만성간염의 특징은  간의 섬유화, 간세포괴사, 다양한 단핵구나 여러세포의 염증성침윤이다. 비활동성 혹은 지속성간염에서부터 만성활동성간염까지의 스펙트럼이 있다. 만성간염의 특수형에는 암컷 dobermans의 만성 활동성간염, bedlington and west highland white terrior의 선천성 구리축적으로 인한 만성간염, 그리고 청장년기 개에서의 소엽박리간염이 있다. 간질환이 있는 동물진단시 확진은 생검이지만, 생검은 출혈성질환이 있는 동물에서는 위험하다. 이환동물에서는 간의 구리수치가 높게 나타난다. 혈청 alkaline phosphatase, alanine aminotransferase, bilirubin도 대부분 높게 나타난다. 저알부민혈증, 빈혈, prothrombin time 과 partial thromboplastin time이 길어지는것도 일반적인 현상이다.",간 비장종대 거리감각불능 구토 다뇨증 다음 떨림 머리박치기 무기력 발육정지 체중증가없음 성장지연 발작 실신 방향감각상실 복부팽만 복수 비출혈 코피 설사 하리 수척 건강상태불량 증체율불량 식욕부진 실명 시력상실 운동기피 운동실조 전신허약 진전 체중감소 출혈 응고부전 피부부종 혈뇨 혈변 분변내잠혈 혈변 혈색소뇨 근색소뇨 혼수 황달 
584,만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease in dogs and cat),"개, 고양이","만성 폐쇄성 폐질환이란 다음중 적어도 2가지가 혼합되어 생기는 공기흐름의 생리적감소를 말하는 용어이다. 폐기종, 만성 기관지염, 천식, 기관지확장증. 개, 고양이에서 이 증후군이 보고되었지만, 정확한 진단을 하려면 폐생검이나 괴사조직의 조직학적 검사가 필요하다. 방사선적촬영, 기관지경, 폐기능검사를 보조검사로 이용할수 있다.",기침 다호흡 비정상적인폐포음 흉강음 심음의감소 운동기피 청색증 호흡곤란 
585,"만성폐렴, 농양, 기관지확장증(Chronic pneumonia, abscessation, bronchiectasis in dogs and cats)","개, 고양이",괴사성 폐렴이나 농양형성은 급성폐렴이나 폐내 이물질에의해 생긴다.폐의 밀도와 공동형성은 방사선사진으로 볼수 있다.진단은 방사선사진과 개흉술로 한다.,기침 기침시객혈 다호흡 무기력 발열 비정상적인폐포음 흉강음 수척 건강상태불량 증체율불량 식욕부진 체중감소 호흡곤란 호흡시이상한냄새 흉부 흉곽 늑골 흉골의통증 
586,West highland의 백색과 다른 테리어종의 만성 폐질환(Chronic pulmonary disease in west highland white and other terrier breeds),개,일련의 west highland의 백색 테리어에 점진적인 호흡기질환이 생겼다. 평균발병나이는 9세였다. 주된 방사선학적 소견은 많은 사례에서 그랬듯이 기관지의특징과 동반된 간질성특징이었다. 폐성심도 가끔 나타났다. 이환동물의 조직학적검사에서는 폐포격막섬유화가 보였다. 이러한 소견들은 불분명한 원인에의한 간질성섬유화와 연관된 것으로 보인다. 비슷한 증후군이 다른 테리어에도 생겼다.,기침 다호흡 발작 실신 비정상적인폐포음 흉강음 운동기피 청색증 호흡곤란 
587,"만성 방사열성 피부염, 홍반(ERYTHEMA) AB  IGNE(Chronic radiant heat dermatitis, erythema ab igne, in dogs)",개,"사람에서의 erythema ab igne는 피부에 중등도열(declerca and vanbstapel)이  지속적이고 반복적으로 노출될 때 생기며, 홍반과 과색소침착을 특징으로 한다. 개에서는 점적의 탈모증이 생긴다. 피부에는 홍반이나 과색소침착으로 경계지어진 저색소침착이 나타난다. 이러한 병변들은 화상과 비슷하며, 열의 노출과 관련이 있지만, 통증은 없다.",탈모 피부색소과잉침착 피부인설 피부색고침착감소 피부의가피 피부의궤양 피부홍반 
588,선천적인 기관지 형성이상과 폐엽공기종 (Congenital bronchial dysplasia and lobar emphysema in dogs and cats),"개, 고양이","선천적인 폐공지종은 매우 어린 나이에 보통 호흡곤란과 청색증을 나타낸다. 몇몇 경우 임상증상은 성체까지 발전하지않는다. 방사선학으로, 폐엽공기종쪽 반대편의 심장과 종격의 전위를 동반한 흉부의 과도한 팽창이 종종 있다. 폐는 매우 투명하게 나타난다. 조직학적으로 진단한 폐조직은 기관지 연골 형성이상을 보여주고,  병변 앞쪽의 에어 공간의 과도한 팽창과 병변 뒤쪽의 폐포의 발달결함이 보였다.",기침 다호흡 발육정지 체중증가없음 발작실신 비정상의폐포음 흉강음 수척 건강상태불량 식욕부진 심음의감소 운동기피 증체율불량 청색증 폐음의감소 피하염발음 호흡곤란
589,"선천적인 개의 팔꿈치 위치이상, 탈구 (Congenital canine elbow dyslocation, luxation)",개,"선천적인 팔꿈치 탈구는 대부분 작은 종에서 일어난다. 탈구는 보통, 항상은 아니고, 측면 방향에, 그리고 한쪽 또는 양쪽 앞다리에 영향을 줄수 있다. 진단은 증상, 병력, 진단, 그리고 방사선학에 의한다. 아마도 쓸개골 탈구,수두증, 변형된 꼬리,대퇴골 머리의 무혈관 괴사와 같은 이형과 관련되어 있을 것이다.",다지증 발가락결손증 앞다리관절이완및탈구 앞다리관절의운동성감소 앞다리만곡 앞다리위축 앞다리파행
590,선천적 백내장 (Congenital cataracts in dogs and cats),"개, 고양이","일차적인 선천적 백내장은 아마도 유전적, 자궁내 감염, 태아기의 시각 감염, 또는 방사능이 원인이 될 것이다. 재흡수를 통한 완전한 선천적 백내장은 6주된 페르시안 고양이에서 보고되었다 .선천적 백내장은 또한 micropthalmia, 또는 동공막의 존속, 투명한 혈관의 존속과 같은 눈의 기형과 관련있다. 보통 악화되지는 않는다.Usually non-progressive. .Usually non-progressive. 진단은 나이와 증상, 눈검사에 의한다. 보통 양쪽으로, 시력을 손상시키지 않는다.",백내장 실명
591,"선천적인 결손, 눈거풀 형성부전 (Congenital coloboma, eyelid agenesis in dogs, cats, and horses)","개, 고양이","눈꺼풀의 결손은 선천적인 전체 또는 부분의 눈꺼풀을 형성하는 층의 부재이다. 이것은 눈꺼풀의 움푹 패인 것과 같이 나타나고, 고양이에서 눈꺼풀의 위, 망아지의 눈꺼풀 가장자리에 더 영향을 끼친다. 양쪽에 나타날 수 있다. 아마도 다른 선천적인 눈의 병변과 관련되어 진다고 볼 수 있다. 만약 눈꺼풀이 닫히지 않는다면, 각막염으로 발전되는데 노출된다. 진단은 증상에 의한다.",각막의궤양 각막의부종 각막혈관신생 결막 공막의발적 결막 공막의충혈 눈물흘림 눈의통증 눈의화농성분비물 속눈썹의이상
592,"선천적 각막혼탁 (Congenital corneal opacity, opacities, in puppies)",개,"선천적 각막 혼탁은 보통 개에서 나타난다.혼탁도는 표면 또는 깊이, 다초점 또는 산재되어 있다. 표층 혼탁은 10일에서 15일 사이의 동물에서 나타나고, 자궁내와 태아 감염, 호흡, 대사, 독성 요소에 의할 것이다. 심부 혼탁은 한쪽 또는 양쪽이고, 그리고 종종 처음 6개월에 없어진다. 어떤 종에서도 일어난다.종종 동공막의 존속과 관련되고, 홍채 조직이 각막에 붙은것과 관련될 수도 있다.. 진단은 나이와 눈 검사에 기초한다.",각막의부종 눈물흘림 눈의화농성분비물 동공형태비정상또는홍채의결함 망막색소침착이상 유착증
593,선천적 고양이 갑상샘저하증과 난장이증 (Congenital feline hypothyroidism and dwarfism),고양이,"새끼 고양이는 갑상샘 저하증으로 인하여 짧은 신장과 어린 생김새, 침제되어있고, 튼튼하게 성장하지 못하는 것으로 그려진다.혈장 타이록신 농도가 낮거나 발견되지 않고, TSH 생성을 자극하지 않는다. 갑상샘의 비대를 6개월부터 촉진할수 있다.어떤 종에서 나타나며, 아비시니안 고양이 종에서 유전된다.",거친피모 뒷다리가상대적으로짧음 목무기력 목부위종창 무기력 발육정지 체중증가없음 배변량감소 변비 배변안됨 복부팽만 수척 건강상태불량 증체율불량 식욕부진 앞다리가상대적으로짧음 체중감소 피부 털의건조 혀의돌출
594,선천적 털감소증 (Congenital hypotrichosis in dogs),개,"탈모증으로 자란 종을 제외하고, 선천적인 털감소증은 개에서 드물며 상염색체의 열성 형질이다. 걸린 많은 개는 검으며, 하지만 종종 모두 검은 것은 아니다.2차감염과 소양증은 몇몇경우에 나타날 것이다. 털은 정상적으로 감염되지 않는 구역이다. 개는 정상적으로 생후 한달에 나타난다.진단은 증상에 의한다.몇가지 종에서 보고되었다.",거친피모 탈모 피부구진 피부냉감 피부또는피하의종창 피부인설
595,선천적 소각막증 (Congenital microcornea in dogs and horses),개,"소각막증은 비정상적으로 작은 각막을 제외한 정상적인 눈을 말한다. 소 안구증에서는 안구가 또한 작다. 이것은 드문 병으로 미리 처치한 개 종에서 Whitley의해 보고되었다.진단은 안검사에 의한다. 시력을 손상받은 어린 망아지에서 보고되었는데, 보통 시력은 정상이다.",소안구증 실명
596,선천적 안구진탕 (Congenital nystagmus in puppies and kittens),개,고양이에서 선천적 안구진탕은 정상보다 시각교차에서 시각신경의 큰 부분의 백색증 정도에 따라 다양하게 나타난다.샴과 히말라얀 걸리기 쉽다. 선천적인 안구 진탕은벨지안 쉽독에서 나타나며 시각신경의 반대쪽 영상의 결함이 나타난다.때때로 몇몇 강아지에서의 추처럼 흔들리는 안구진탕은 자연적으로 해결될 것이다.,안구진탕
597,선천적 안구 이상 (Congenital ocular anomalies in doberman pinchers),개,"도베르만 핀셔에서 눈을 연후 실명이 보고되었다. 두눈 모두 포함하고, 정상보다 동공이 좁게 보였다. 눈은 정상보다 작으며,무수정체이며 앞방이 없고 망막이 박리되고 무형성증이다.상염색체 열성으로 유전된다.",각막의부종 망막박리 망막색소침착이상 망막주름 소안구증 제3안검탈출 홍채의색소침착이상
598,"선천적 신장 무발생증 (Congenital renal agenesis in kittens, puppies, and piglets)","개, 고양이","한쪽 신장의 무발생증은 고양이, 개, 그리고 돼지에서 선천적 결함으로 나타난다.양쪽 신장 무발생증은 강아지와 새끼 돼지에서 나타난다.",급사 무기력 식욕부진
599,선천적인 호흡관 나무 이상 (Congenital respiratory tree anomalies in puppies),개,"기관 허탈은 대부분 개의 호흡기 이상이지만, 호흡기 질병으로 죽은 페키니즈 강아지를 부검했더니 정상적인 기관갈림과 기관용골의 결함이 보고되었다. 대부분의 기관지는 정상보다 더 유연해졌다. 어느정도 폐 실질조직은 없었다. 진단은 부검에 의한다",다호흡 청색증폐음의감소 호흡곤란
600,"선천적 망막박리 (Congenital retinal detachment in puppies, kittens, and foals)","개, 고양이",선천적 망막 박리는 개에서 보고되었다. 이것은 드물지만 고양이과 말에서는 보고된적이있다..아마도 다른 안구 이상과 연관되어있을 것이다.진단은 증상과 나이에 의한다.,동공부동 망막박리 실명
601,선천적인 부분적 반위축 (Congenital segmental hemiatrophy in dogs),개,선천적으로 다리의 비대칭 발생은 작지만 거의 드문 경우이다. 치료는 특별한 경우를 제외하고 필요치 않다. 진단은 물리적인 손상이 원인이되는 것을 제외한다.,앞다리가상대적으로짧음 앞다리파행
602,선천적 해면상 백색질뇌증 (Congenital spongiform leukoencephalopathy of silkie terriers),개,실키테리어종에서 중추신경의 해면상 변성으로 인한 선천적인 신경질병이 나타난다. 흥분했을때는 증가하고 잘때는 감소하는 것처럼 척주 근육은 구축이 조절되지 않는다. 다섯 마리 새끼중의 세 마리는 감염된다. 악화되지는 않는다. 진단은 부검으로 확진할수 있다.,등부위경련
603,선천적 야맹증 (Congenital stationary night blindness in horses and dogs),개,"낮의 시력 또한 때때로 손상되었다. 유전될 것이다. 아마도 밤에는 쾅 박을지도 모르고, 움직이기 싫어할 것이다.. 검안경 검사로 육안적인 변화가 없다. 진단은 망막전위도 검사에 의해 확진할수 있고,이것은 ERG 양성 으로 거의 음성적인 반응에 이른다. 말에서 아팔루사스 종에서 나타나지만, 다른 종에서는 덜 나타난다. 개에서도 보고된적이 있다.",사시 소안구증 실명 안구진탕
604,선천적 사시 (Congenital strabismus in dogs and cats),고양이,"수렴성 사시는 보통 고양이에서, 특히 샴과 히말라얀 종에서 선천적인 결함이다. 이병의 경중도는 가느다랗거나 뚜렷하거나, 간헐적이거나 지속적인가 일 것이다. 샴의 동종접합의 알비노 시리즈의 대립유전자는 또한 안구진탕일 것이다. 진단은 증상에 의한다. 기능적 시력은 손상되지 않는다.",사시 안구진탕
605,선천적 진전 (Congenital tremor in siamese cats),고양이,"10일된 샴 새끼고양이에서 몸 전체에 뚜렷한 진전이 관찰되었다. 진전은 흥분하였을때 증가하였고, 잘때는 없었다. 조직학적으로, 어느 척수 한 부분의 배쪽돌기의 신경세포가 소실되었고, 척주의 백색질의 국소적인 변성이 있었다. 진단은 부검에 의한다.",거리감각불능 떨림 운동실조 진전
606,선천적 중추신경의 해면상 변성 (Congenital tremor with spongy degeneration of the cns in dogs),개,"선천적으로 강아지에서 악화되지 않는 진전은: 증상은 흥분과 수의운동에 의해 빨라진다.양쪽에 대칭적으로 해면상 변성이 있고, 일차적으로 뇌와 척수의 회색질에 있으며, 신경조직학적 시험에 의해 알수 있다. 진단은 부검에 의한다. 치료법은 없다.",거리감각불능 떨림 발육정지 체중증가없음 비정상적인자세 수척 건강상태불량 증체률불량 안구진탕 운동실조 진전 체중감소 피모거침
607,선천적인 폐동맥의 한쪽 부재 (Congenital unilateral absence of a pulmonary artery in cats),고양이,급성 호흡기질환의 발병에 의해 진행중인 운동장애를 가지고 있는 2살된 고양이에서 오른쪽 폐동맥의 부재가 관찰되었다 방사선 사진으로 정상적인 폐와 상대적으로 혈관이 없는 폐에 부종이 있었다 진단은 혈관조형술에 의해 알수 있다. 이것은 아주 드물게 나타난다.,다호흡 모세혈관재충만시간지연 운동기피 창백 청색증 폐음또한심음의이상 호흡곤란
608,선천적 요도조임근 무능 (Congenital urethral sphincter incompetence in cats),고양이,"어린 암코양이에서 막대한 요실금이 있었는데, 누워있을때나 잘 때 더 심하였다.  대조적으로 방사선으로 요도과소형성과 질 무형성이 가장 영향을 주는 것으로 보이고, 다른 산발성의 이상이 보인다.( 방광 과소형성, 신장 요도 과소형성)  방광염은 보편적으로 나타난다.",혈뇨 단백뇨 적색뇨 갈색뇨 요실금
609,선천적 전정 질병 (Congenital vestibular disease in puppies and kittens),"개, 고양이","선천적인 말초 전정 질병 증후군은 개, 고양이의 몇몇종에서 보고되었다. 증상은 생후 12주에 발병하며 몇 달안에 자주 재발하며, 영구적이다. 비정상적인 안구진탕은 드물며, 정상적인 전정 안구진탕은 유도하기 힘들다. 유전이 되지 않을까 생각되어진다. 진단은 증상, 나이, 다른 원인들을 제거하면서 알수 있다.",거리감각불능 난청 머리기울기 발육정지 체중증가없음 사시 선회운동 안검하수 안구진탕 운동실조 제3안검탈출
610,선천적 난포 각화증 (Congential follicular parakeratosis in female rottweilers and siberian husky),개,"암컷 로트와일러와 시베리안 허스키 종에서 선천적인 피부 각화 이상이 생기고, 종종 다른 선천적인 비정상과 연관되어있다.  증상은 일반적이고, 과각화되고, 다양하게 색소침착이 있다. 선 병변 또는 사마귀모양의 엽상 병변이 나타난다. 편평골이나 발바닥에 나타난다.",과각화증 소양감 탈모 털이광택이없이덥수룩하거나지저분함 피부 털의건조 피부과잉색소침착 피부구진 피부또는피하의종창 피부색소침착감소 피부의가피딱지 피부의악취 피부인설 피부플라크
611,울혈성 심부전 (Congestive heart failure),"개, 고양이","심근무기능 또는 부전으로부터 나타나는 임상작 증후군은 폐와 또는 전신적 울혈과 약한 심박출로 특징지어질수 있다. 왼쪽 심실의 부전은 폐동맥의 울혈과 폐의 부종을 일으킨다. 오른쪽 심실의 부전은 정맥 울혈과 부종 ,이것은 복수로 나타나고, 또는 늑막 삼출과 나타난다. 진단은 임상증상과 EKG, 방사선,그리고 병력에 의한다. 아마도 고양이에서 대동맥 혈전색전증과 관계있을 것이다. 동물은 누워있을 때 좌위호흡, 불안감, 기침이 보인다.심부전은 고양이에서 대동맥과 후대정맥의 누공 때문이다.",간 비장종대 급사 기침시객혈 기침 다호흡 말초정맥확장 목부의종창 무기력 발작또는실신 복강내부종괴 복부팽만 복수 부정맥 분마율동 비정상의폐포음 흉강음 빈맥 상부기도의비정상호흡음 수척 건강상태불량 증체율불량 식욕부진 심방세동 심방확장 심실확장 심음의감소 심잡음 약맥 운동기피 지각과민 창백 청색증 체중감소 폐포음감소 피부부종 호흡곤란 흉부종창
612,협착심장막염(Constrictive pericarditis in the dog),개,"심장막염은 개에서 보고된 바 있음. 심장막의 삼출물과 심장바깥막과 심장막의 섬유소성 비후는 울혈성 심부전증을 야기함. 원인은 외상, 곰팡이성, 미코박테리아성, 액티노미코성 감염; 대부분은 특발성임. 임상증상, 방사선학, EKG, 다른 원인 등을 통해 진단함. 외상성과 특발성 심장막염 모두 서술되어있음.",간 비장종대 경정맥박동 기침 다호흡 빠른호흡(빈호흡) 과호흡 뒷발 발가락종창 종괴 말초정맥확장 무기력 침울 졸림 생기없음 발작 실신 복부팽만 복수 빈맥 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심낭음 심음의감소 심전도전압감소 앞발 발가락종창 종괴 약맥 소맥 운동기피 쉽게지침 전신허약 부전마비 마비 체중감소 폐포음감소 호흡음이없음 호흡곤란 개구호흡 그르렁거림 가쁜호흡
613,"접촉전염성 바이러스 농포 피부염(Contagious viral pustular dermatitis in dogs, orf)",개,"바이러스 농포 피부염은 양과 염소에서 주요한 질병임. 이 질병은 양 사체를 급여시킨 개에서 진단됨. 특히 머리 주위에 습성피부염, 궤양, 딱지가 둥글게 생김. 대증요법을 통해 치료하고 1~4주 소요됨. 생검과 양으로의 질병 전파를 통해 진단함. 인수공통임.",피부 털 깃털이축축함 피부의가피 딱지 피부의궤양
614,가시아래근의 구축 (Contracture of the canine infraspinatus muscle),개,"앞다리의 파행은 가시아래근 구축에 의해 일어나며, 가시아래근 구축은 팔꿈치 내향과 발바닥의 외향으로 위치 변형과 보행 이상을 일으킴. 때론 근육이 위축됨. 어깨의 운동성 감소가 두드러짐. 전진보행 시 앞발목이 숙여져서 원위 사지의 회전이 일어남. 무게 부하가 있고 통증은 없음. 외상을 동반할 수 있음. 병력과 임상증상으로 진단.",앞다리관절의운동성감소 앞다리구축 뻣뻣함 앞다리만곡 앞다리위축 앞다리파행
615,장딴지근의 구축(Contracture of the gastrocnemius in kittens and foals),고양이,"장딴지인대의 양측성 구축은 5월령 고양이에서 보고됨. 병인은 알려지지 않았음. 망아지에서 비슷한 상황이 선천성, 유전성, 자궁내에서 획득될 수 있음.  발목관절의 과도한신장과 장딴지인대의 수축에 의해 진단",뒷다리구축 뻣뻣함 뒷다리만곡 앞다리종창 종괴(관절부/비관절부위포함) 뒷다리파행 뒷다리관절운동성감소 뒷발 발가락종창
616,대퇴네갈래근의 구축(Contracture of the quadriceps in dogs and cats),"개, 고양이","대퇴네갈래근의 구축은 대퇴골절의 합병증으로 나타날 수 있음. 대퇴네갈래근이 골절부위에 부착함으로써 무릎관절의 운동성이 감소하거나 상실되게 됨. 선천성 변형으로 언급한 바 있음. 무릎관절의 강직성 신전, 발목의 과신전, 발을 질질 끌고, 대퇴네갈래근이 긴장되고 섬유화가 나타남. 치료에 대한 예후는 불량하지만, 문제에 대한 보상이 일어나게 되고, 뒷다리를 사용할 수 있을 것임.",뒷다리관절운동성감소 뒷다리파행
617,구리 결핍(Copper deficiency in queens),고양이,"고양이에서 구리 결핍은 불임증, 영아사, 저출생체중과 새끼 고양이에서 비정상적인 발달을 일으킴",암컷의불임증 유산 허약한새끼분만
618,구리 독성(Copper toxicity in bedlington terriers and other breeds),개,"Bedlington Terriers의 보통염색체열성결함은 간에서 과잉구리독성이 축적됨. 진행성이고 치명적인 간질환임. 수 년간 지연되거나 조기에 나타날 수 있으며 급성, 만성간질환과 사망으로 나타남. 진단은 간기능 검사와 생검을 통해 이뤄짐. 진행된 사례에서는 간뇌병증이 증거가 될 수 있음. 다른 종에서도 보고된 바 있음.",걷다앞으로넘어짐 구토 다뇨증 다음 많이마심 지나친갈증 단백뇨 머리박치기 무기력 침울 졸림 생기없음 발작 실신 방향감각상실 복부팽만 복수 비정상적또는공격적행동 습성이바뀜 비출혈 코피 빈맥 설사 하리 소양감 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 적색뇨 갈색뇨 전신허약 부전마비 마비 점상또는반상출혈 창백 체중감소 혼수 흥분
619,폐심장증(Cor pulmonale),"개, 고양이","만성 폐질환은 우심장에 압력을 증가시키게 되어 이차적으로 우심실에 비대를 일으킴. 증세가 심하면 심잡음, 부종과 다른 기능상실의 증상이 있을 수 있음.",경정맥박동 기침 다호흡 빠른호흡(빈호흡) 과호흡 말초정맥확장 경정맥확장 눈물흘림 장액성분비물 축축한눈 체중증가없음 성장지연 복수 부정맥 비정상의폐포음 빈맥 수척 건강상태불량 증체율불량 심방세동 심방조기박동 심잡음 약맥 소맥 운동기피 쉽게지침 창백 체중감소 피(P)파결손 피부부종 호흡곤란 개구호흡 그르렁거림 가쁜호흡
620,"삼심방실(Cor triatriatum, triatrium, dexter in dogs)",개,변형적 막이 오른쪽 심방을 두부쪽과 꼬리쪽으로 방을 나눈다. 무증상적이라도 높은 단백 복수에 의해 비정상적인 만성 확장의 병력을 갖는 어린 개에서 나타난다. 일부는 심잡음이 있다.,간 비장종대 거친피모 곤두선털 맥박결손 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발육정지 체중증가없음 복부팽만 복수 부정맥 빈맥 설사 하리 수척 건강상태불량 증체율불량 심방세동 심잡음 운동기피 쉽게지침 체중감소
621,각막 농양(Corneal abscesses in dogs),개,"각막 농양은 개에서 흔하지 않고, 외상을 입은 후에 나타남. 상피가 겹친 온전한 형태의 국소적인 혼탁으로 존재. 임상증상, 병력으로 진단.",각막의부종
622,각막 위축(Corneal dystrophy in dogs and cats),"개, 고양이","각막 위축의 결과로서 양측성 각막 혼탁이 개에서 보고된바 있음. '우유빛' 각막은 perilimbal zone을 제외하고 점차 농도가 짙어짐. 드물게 궤양과 흉터형성 시력 장애를 나타냄. 혼탁은 축방향으로 대칭적임. 임상증상, 품종, 병력으로 진단. 고양에서 보고된 바 있으나, 드뭄. Manx에서 진행성 각막 위축이 보고 되었음.",각막의궤양 각막의부종 각막혈관신생 눈의통증 안통 실명
623,각막 상피 위축(Corneal epithelial dystrophy of manx cats),고양이,양쪽 눈에 영향을 미치는 유전된 진행성 상태,각막의궤양 각막의부종 눈부심 수명 눈의통증 안통 안검연축 경련
624,각막 상피 봉입체(Corneal epithelial inclusion cyst in dogs),개,"이것은 각막의 융기, 단발, 단측성 병변을 나타냄. 병인은 밝혀지지 않았음. 외상으로 인한 것으로 의심되지만, 선천적인 것일 수 도 있음. 병력을 통해 진단.",각막의부종 각막의종창 종괴 결절 각막혈관신생
